case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
19,gpt-5.6,S5,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.923,623,83,72,706,1,
19,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,4.067,623,116,105,739,1,
20,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,4.806,718,152,141,870,1,
20,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.695,718,131,120,849,1,
20,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.733,718,137,126,855,1,
21,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.411,816,58,47,874,1,
21,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.958,816,62,51,878,1,
21,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.554,816,90,79,906,1,
22,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.529,710,69,58,779,1,
22,gpt-5.6,S5,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.672,710,91,80,801,1,
22,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,4.323,710,130,119,840,1,
23,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.732,677,29,18,706,1,
23,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.75,677,28,17,705,1,
23,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.464,677,29,18,706,1,
24,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,7.919,777,291,280,1068,1,
24,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.701,777,23,12,800,1,
24,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.386,777,5,0,782,1,
25,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.332,788,42,31,830,1,
25,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.248,788,47,36,835,1,
25,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.902,788,34,23,822,1,
26,gpt-5.6,S4,D,D,True,gpt-5.6,gpt-5.6-sol-2026-07-09,D,2.034,827,54,43,881,1,
26,gpt-5.6,S5,D,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,4.174,827,181,170,1008,1,
26,gpt-5.6,S6,D,D,True,gpt-5.6,gpt-5.6-sol-2026-07-09,D,2.001,827,25,14,852,1,
27,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.804,737,38,27,775,1,
27,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.004,737,43,32,780,1,
27,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.442,737,54,43,791,1,
28,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.286,690,124,113,814,1,
28,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.06,690,63,52,753,1,
28,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.09,690,86,75,776,1,
29,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.04,726,38,27,764,1,
29,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.246,726,119,108,845,1,
29,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.098,726,41,30,767,1,
30,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.661,615,32,21,647,1,
30,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.844,615,24,13,639,1,
30,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.813,615,43,32,658,1,
31,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,4.73,749,221,210,970,1,
31,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,5.62,749,261,250,1010,1,
31,gpt-5.6,S6,C,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.436,749,94,83,843,1,
32,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.927,772,56,45,828,1,
32,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.239,772,121,110,893,1,
32,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.376,772,72,61,844,1,
33,gpt-5.6,S4,A,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.041,734,115,104,849,1,
33,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.988,734,46,35,780,1,
33,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.168,734,49,38,783,1,
34,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.749,600,44,33,644,1,
34,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.675,600,55,44,655,1,
34,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.615,600,23,12,623,1,
35,gpt-5.6,S4,B,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.403,823,67,56,890,1,
35,gpt-5.6,S5,B,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.681,823,53,42,876,1,
35,gpt-5.6,S6,B,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,4.494,823,160,149,983,1,
36,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.149,623,51,40,674,1,
36,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.127,623,47,36,670,1,
36,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.806,623,188,177,811,1,
37,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.659,651,106,95,757,1,
37,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.308,651,121,110,772,1,
37,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.715,651,103,92,754,1,
38,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.411,750,68,57,818,1,
38,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.723,750,44,33,794,1,
38,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.506,750,26,15,776,1,
39,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.564,579,29,18,608,1,
39,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.145,579,54,43,633,1,
39,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.386,579,5,0,584,1,
40,gpt-5.6,S4,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.528,663,88,77,751,1,
40,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.659,663,60,49,723,1,
40,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.216,663,132,121,795,1,
41,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.898,737,53,42,790,1,
41,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.988,737,33,22,770,1,
41,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.86,737,51,40,788,1,
42,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.21,706,65,54,771,1,
42,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.187,706,42,31,748,1,
42,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.505,706,33,22,739,1,
43,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.946,627,126,115,753,1,
43,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.867,627,34,23,661,1,
43,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.922,627,28,17,655,1,
44,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.565,571,24,13,595,1,
44,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.362,571,29,18,600,1,
44,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.755,571,33,22,604,1,
45,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.33,694,96,85,790,1,
45,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.011,694,51,40,745,1,
45,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.092,694,57,46,751,1,
46,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.834,696,48,37,744,1,
46,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.749,696,37,26,733,1,
46,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.665,696,42,31,738,1,
47,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.065,723,48,37,771,1,
47,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.518,723,66,55,789,1,
47,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.7,723,112,101,835,1,
48,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.699,630,73,62,703,1,
48,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.865,630,43,32,673,1,
48,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.699,630,33,22,663,1,
49,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.923,643,39,28,682,1,
49,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.317,643,5,0,648,1,
49,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.505,643,5,0,648,1,
50,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.967,790,37,26,827,1,
50,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.165,790,31,20,821,1,
50,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.875,790,26,15,816,1,
51,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.647,769,60,49,829,1,
51,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.08,769,55,44,824,1,
51,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.714,769,124,113,893,1,
52,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.335,889,5,0,894,1,
52,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.204,889,5,0,894,1,
52,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.174,889,5,0,894,1,
53,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.835,625,75,64,700,1,
53,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.905,625,49,38,674,1,
53,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.477,625,121,110,746,1,
54,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.187,764,96,85,860,1,
54,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,5.434,764,225,214,989,1,
54,gpt-5.6,S6,C,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.455,764,119,108,883,1,
55,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.738,738,29,18,767,1,
55,gpt-5.6,S5,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.359,738,5,0,743,1,
55,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.631,738,28,17,766,1,
56,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.762,721,78,67,799,1,
56,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.188,721,5,0,726,1,
56,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.274,721,5,0,726,1,
57,gpt-5.6,S4,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.184,655,122,111,777,1,
57,gpt-5.6,S5,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.488,655,29,18,684,1,
57,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.186,655,73,62,728,1,
58,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.644,799,5,0,804,1,
58,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.578,799,33,22,832,1,
58,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.907,799,5,0,804,1,
59,gpt-5.6,S4,D,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,6.915,685,239,228,924,1,
59,gpt-5.6,S5,D,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.777,685,35,24,720,1,
59,gpt-5.6,S6,D,D,True,gpt-5.6,gpt-5.6-sol-2026-07-09,D,5.699,685,225,214,910,1,
60,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.243,731,57,46,788,1,
60,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.484,731,24,13,755,1,
60,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.192,731,23,12,754,1,
61,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.815,665,126,115,791,1,
61,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.086,665,92,81,757,1,
61,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.886,665,40,29,705,1,
62,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.459,782,70,59,852,1,
62,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.967,782,93,82,875,1,
62,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.94,782,110,99,892,1,
63,gpt-5.6,S4,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,3.718,640,73,62,713,1,
63,gpt-5.6,S5,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.142,640,41,30,681,1,
63,gpt-5.6,S6,A,C,False,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.489,640,47,36,687,1,
64,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,5.027,699,172,161,871,1,
64,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.905,699,93,82,792,1,
64,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.9,699,67,56,766,1,
65,gpt-5.6,S4,C,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,4.562,749,161,150,910,1,
65,gpt-5.6,S5,C,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.069,749,46,35,795,1,
65,gpt-5.6,S6,C,B,False,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.101,749,45,34,794,1,
66,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.817,534,57,46,591,1,
66,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.686,534,5,0,539,1,
66,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.446,534,5,0,539,1,
67,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,3.239,744,110,99,854,1,
67,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.075,744,42,31,786,1,
67,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.251,744,5,0,749,1,
68,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.039,678,54,43,732,1,
68,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.99,678,59,48,737,1,
68,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.806,678,40,29,718,1,
69,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.195,822,75,64,897,1,
69,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.29,822,117,106,939,1,
69,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,2.788,822,90,79,912,1,
70,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.078,788,111,100,899,1,
70,gpt-5.6,S5,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,3.185,788,74,63,862,1,
70,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,1.786,788,41,30,829,1,
71,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.596,771,67,56,838,1,
71,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.519,771,69,58,840,1,
71,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.075,771,77,66,848,1,
72,gpt-5.6,S4,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,4.004,787,160,149,947,1,
72,gpt-5.6,S5,B,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.533,787,66,55,853,1,
72,gpt-5.6,S6,B,B,True,gpt-5.6,gpt-5.6-sol-2026-07-09,B,4.756,787,212,201,999,1,
73,gpt-5.6,S4,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,4.443,791,135,124,926,1,
73,gpt-5.6,S5,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,2.148,791,60,49,851,1,
73,gpt-5.6,S6,C,C,True,gpt-5.6,gpt-5.6-sol-2026-07-09,C,1.826,791,28,17,819,1,
74,gpt-5.6,S4,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.304,672,5,0,677,1,
74,gpt-5.6,S5,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.394,672,5,0,677,1,
74,gpt-5.6,S6,A,A,True,gpt-5.6,gpt-5.6-sol-2026-07-09,A,1.52,672,5,0,677,1,
75,gpt-5.6,S4,C,A,False,gpt-5.6,gpt-5.6-sol-2026-07-09,A,2.083,726,27,16,753,1,
