case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
7,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,4.51,636,197,193,833,1,
7,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,6.22,654,234,230,888,1,
8,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,22.268,507,812,808,1319,1,
8,qwen3.8-max,S2,C,A,False,qwen3.8-max,qwen3.8-max,A,22.229,489,1020,1017,1509,1,
8,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,8.861,507,406,403,913,1,
9,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.618,711,294,290,1005,1,
9,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.939,693,293,290,986,1,
9,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,5.89,711,254,250,965,1,
10,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,16.698,719,685,681,1404,1,
10,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,17.262,701,851,847,1552,1,
10,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,11.622,719,532,528,1251,1,
11,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,13.756,633,618,614,1251,1,
11,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,9.459,615,478,475,1093,1,
11,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,10.815,633,545,541,1178,1,
12,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,5.949,635,261,258,896,1,
12,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.862,617,488,484,1105,1,
12,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,10.217,635,403,399,1038,1,
13,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.591,575,355,351,930,1,
13,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,7.956,557,311,307,868,1,
13,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,3.885,575,176,173,751,1,
14,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.541,646,384,381,1030,1,
14,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.638,628,450,447,1078,1,
14,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,9.851,646,489,486,1135,1,
15,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,12.451,643,535,532,1178,1,
15,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.564,625,423,419,1048,1,
15,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,13.272,643,620,616,1263,1,
16,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,7.196,550,310,306,860,1,
16,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,7.048,532,304,300,836,1,
16,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,6.824,550,271,267,821,1,
17,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,12.535,655,553,550,1208,1,
17,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,12.807,637,627,624,1264,1,
17,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,9.791,655,536,532,1191,1,
18,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.561,569,319,316,888,1,
18,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,6.652,551,348,344,899,1,
18,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.027,569,309,305,878,1,
19,qwen3.8-max,S1,A,B,False,qwen3.8-max,qwen3.8-max,B,17.449,558,684,680,1242,1,
19,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,7.892,540,395,391,935,1,
19,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,5.167,558,232,228,790,1,
20,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,17.007,668,751,747,1419,1,
20,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,12.324,650,555,551,1205,1,
20,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,17.64,668,888,885,1556,1,
21,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,9.489,765,472,468,1237,1,
21,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,11.2,747,600,596,1347,1,
21,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,11.341,765,609,605,1374,1,
22,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,10.394,652,461,457,1113,1,
22,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,13.49,634,660,657,1294,1,
22,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,8.109,652,383,379,1035,1,
23,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,7.702,633,328,324,961,1,
23,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,7.355,615,353,349,968,1,
23,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,7.653,633,373,369,1006,1,
24,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.915,667,291,287,958,1,
24,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.774,649,258,254,907,1,
24,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.996,667,319,315,986,1,
25,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.238,709,367,363,1076,1,
25,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,7.238,691,340,336,1031,1,
25,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,11.961,709,586,583,1295,1,
26,qwen3.8-max,S1,D,D,True,qwen3.8-max,qwen3.8-max,D,10.737,731,431,428,1162,1,
26,qwen3.8-max,S2,D,D,True,qwen3.8-max,qwen3.8-max,D,7.037,713,310,306,1023,1,
26,qwen3.8-max,S3,D,D,True,qwen3.8-max,qwen3.8-max,D,7.374,731,339,335,1070,1,
27,qwen3.8-max,S1,A,B,False,qwen3.8-max,qwen3.8-max,B,12.842,651,505,501,1156,1,
27,qwen3.8-max,S2,A,B,False,qwen3.8-max,qwen3.8-max,B,14.414,633,699,695,1332,1,
27,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,9.302,651,446,442,1097,1,
28,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,14.143,667,689,686,1356,1,
28,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,12.076,649,687,683,1336,1,
28,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,11.388,667,577,573,1244,1,
29,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,15.993,651,651,647,1302,1,
29,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,8.81,633,424,421,1057,1,
29,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,6.002,651,242,238,893,1,
30,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.209,538,216,212,754,1,
30,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,6.365,520,280,277,800,1,
30,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,5.247,538,238,234,776,1,
31,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,18.698,712,842,838,1554,1,
31,qwen3.8-max,S2,C,B,False,qwen3.8-max,qwen3.8-max,B,13.937,694,641,637,1335,1,
31,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,11.962,712,633,629,1345,1,
32,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,7.705,620,295,291,915,1,
32,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,5.736,602,264,260,866,1,
32,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,7.91,620,390,386,1010,1,
33,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,8.431,685,397,393,1082,1,
33,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,6.866,667,331,328,998,1,
33,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,7.303,685,314,311,999,1,
34,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,3.714,541,134,130,675,1,
34,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,4.24,523,179,175,702,1,
34,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.202,541,247,243,788,1,
35,qwen3.8-max,S1,B,A,False,qwen3.8-max,qwen3.8-max,A,8.699,708,375,372,1083,1,
35,qwen3.8-max,S2,B,A,False,qwen3.8-max,qwen3.8-max,A,13.286,690,679,675,1369,1,
35,qwen3.8-max,S3,B,A,False,qwen3.8-max,qwen3.8-max,A,20.647,708,1019,1015,1727,1,
36,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,5.747,563,224,220,787,1,
36,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,4.786,545,198,194,743,1,
36,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.192,563,256,252,819,1,
37,qwen3.8-max,S1,B,A,False,qwen3.8-max,qwen3.8-max,A,17.634,594,826,822,1420,1,
37,qwen3.8-max,S2,B,A,False,qwen3.8-max,qwen3.8-max,A,16.032,576,842,839,1418,1,
37,qwen3.8-max,S3,B,A,False,qwen3.8-max,qwen3.8-max,A,9.506,594,482,478,1076,1,
38,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,7.743,686,314,310,1000,1,
38,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,9.91,668,424,420,1092,1,
38,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,9.154,686,373,369,1059,1,
39,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,4.814,535,180,177,715,1,
39,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,4.733,517,206,203,723,1,
39,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,4.843,535,203,199,738,1,
40,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,5.444,595,212,208,807,1,
40,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,6.002,577,278,275,855,1,
40,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,9.12,595,423,419,1018,1,
41,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,7.361,701,362,358,1063,1,
41,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,6.318,683,326,323,1009,1,
41,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,7.765,701,308,304,1009,1,
42,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,10.533,625,412,408,1037,1,
42,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,6.3,607,307,304,914,1,
42,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,11.119,625,544,541,1169,1,
43,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.188,580,330,326,910,1,
43,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.018,562,216,212,778,1,
43,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,8.345,580,393,389,973,1,
44,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.156,514,247,244,761,1,
44,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,7.124,496,312,308,808,1,
44,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,6.756,514,317,313,831,1,
45,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,8.422,589,361,357,950,1,
45,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,7.5,571,356,352,927,1,
45,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.438,589,312,308,901,1,
46,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,4.803,624,203,200,827,1,
46,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.374,606,243,239,849,1,
46,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.534,624,248,244,872,1,
47,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.585,617,281,277,898,1,
47,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,7.484,599,382,378,981,1,
47,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,13.002,617,582,578,1199,1,
48,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.318,552,227,223,779,1,
48,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.791,534,271,267,805,1,
48,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,5.114,552,213,209,765,1,
49,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.58,609,261,257,870,1,
49,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,6.781,591,314,311,905,1,
49,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,6.09,609,265,261,874,1,
50,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.435,710,264,260,974,1,
50,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,5.468,692,223,219,915,1,
50,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,5.676,710,278,274,988,1,
51,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,16.446,709,761,757,1470,1,
51,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,13.802,691,664,661,1355,1,
51,qwen3.8-max,S3,B,C,False,qwen3.8-max,qwen3.8-max,C,8.223,709,403,399,1112,1,
52,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,5.421,786,231,227,1017,1,
52,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.008,768,289,285,1057,1,
52,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.531,786,279,276,1065,1,
53,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,9.507,587,393,389,980,1,
53,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,8.032,569,398,394,967,1,
53,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,7.158,587,371,368,958,1,
54,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,18.563,673,907,903,1580,1,
54,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,10.205,655,498,494,1153,1,
54,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,12.402,673,649,646,1322,1,
55,qwen3.8-max,S1,C,A,False,qwen3.8-max,qwen3.8-max,A,8.425,653,316,313,969,1,
55,qwen3.8-max,S2,C,A,False,qwen3.8-max,qwen3.8-max,A,6.457,635,301,297,936,1,
55,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,4.665,653,198,195,851,1,
56,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,3.933,653,149,145,802,1,
56,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,4.658,635,217,213,852,1,
56,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,4.095,653,182,178,835,1,
57,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.323,571,271,267,842,1,
57,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,8.659,553,392,388,945,1,
57,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,7.352,571,323,319,894,1,
58,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,6.19,700,254,251,954,1,
58,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,5.884,682,233,230,915,1,
58,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,7.551,700,380,377,1080,1,
59,qwen3.8-max,S1,D,C,False,qwen3.8-max,qwen3.8-max,C,16.178,607,776,772,1383,1,
59,qwen3.8-max,S2,D,C,False,qwen3.8-max,qwen3.8-max,C,16.747,589,787,783,1376,1,
59,qwen3.8-max,S3,D,C,False,qwen3.8-max,qwen3.8-max,C,8.073,607,341,337,948,1,
60,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.109,633,253,250,886,1,
60,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,6.03,615,255,252,870,1,
60,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,5.722,633,261,257,894,1,
61,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,7.788,580,357,353,937,1,
61,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,9.207,562,383,379,945,1,
61,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,16.279,580,791,787,1371,1,
62,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,9.607,690,456,452,1146,1,
62,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,13.366,672,661,657,1333,1,
62,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,10.206,690,498,494,1188,1,
63,qwen3.8-max,S1,A,C,False,qwen3.8-max,qwen3.8-max,C,6.547,578,274,270,852,1,
63,qwen3.8-max,S2,A,C,False,qwen3.8-max,qwen3.8-max,C,6.792,560,300,296,860,1,
63,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,5.723,578,272,269,850,1,
64,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,17.489,646,744,740,1390,1,
64,qwen3.8-max,S2,B,A,False,qwen3.8-max,qwen3.8-max,A,19.815,628,860,856,1488,1,
64,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,18.731,646,866,862,1512,1,
65,qwen3.8-max,S1,C,B,False,qwen3.8-max,qwen3.8-max,B,20.968,626,879,875,1505,1,
65,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,16.406,608,781,777,1389,1,
65,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,7.456,626,309,305,935,1,
66,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,4.431,520,164,160,684,1,
66,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,5.362,502,201,198,703,1,
66,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,3.733,520,121,118,641,1,
67,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,7.285,633,304,300,937,1,
67,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,13.856,615,627,623,1242,1,
67,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,12.422,633,516,512,1149,1,
68,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,6.33,604,246,242,850,1,
68,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,7.37,586,299,295,885,1,
68,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,20.469,604,794,790,1398,1,
69,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,19.392,718,913,909,1631,1,
69,qwen3.8-max,S2,B,C,False,qwen3.8-max,qwen3.8-max,C,16.454,700,680,676,1380,1,
69,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,21.135,718,866,863,1584,1,
70,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,12.664,716,584,580,1300,1,
70,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,21.726,698,921,918,1619,1,
70,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,23.351,716,893,889,1609,1,
71,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,11.208,714,481,478,1195,1,
71,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,16.193,696,684,680,1380,1,
71,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,19.964,714,777,774,1491,1,
72,qwen3.8-max,S1,B,A,False,qwen3.8-max,qwen3.8-max,A,20.818,739,850,846,1589,1,
72,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,21.947,721,910,907,1631,1,
72,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,16.546,739,663,660,1402,1,
73,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.481,693,263,260,956,1,
73,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,12.505,675,468,464,1143,1,
73,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,15.659,693,575,572,1268,1,
74,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,5.085,623,184,180,807,1,
74,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,5.707,605,221,218,826,1,
74,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,5.495,623,191,187,814,1,
75,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.386,642,253,249,895,1,
75,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,9.665,624,382,378,1006,1,
75,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,8.308,642,311,308,953,1,
76,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,13.745,694,583,580,1277,1,
76,qwen3.8-max,S2,C,B,False,qwen3.8-max,qwen3.8-max,B,24.306,676,982,978,1658,1,
76,qwen3.8-max,S3,C,A,False,qwen3.8-max,qwen3.8-max,A,21.838,694,879,875,1573,1,
77,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,13.002,729,581,577,1310,1,
77,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,9.071,711,356,352,1067,1,
77,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,7.918,729,327,323,1056,1,
78,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,13.948,708,561,557,1269,1,
78,qwen3.8-max,S2,B,B,True,qwen3.8-max,qwen3.8-max,B,11.485,690,472,468,1162,1,
78,qwen3.8-max,S3,B,B,True,qwen3.8-max,qwen3.8-max,B,11.801,708,433,429,1141,1,
79,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.419,615,237,234,852,1,
79,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,6.022,597,231,227,828,1,
79,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,6.496,615,239,235,854,1,
80,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,11.418,628,486,482,1114,1,
80,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,14.389,610,553,550,1163,1,
80,qwen3.8-max,S3,A,A,True,qwen3.8-max,qwen3.8-max,A,12.187,628,447,444,1075,1,
81,qwen3.8-max,S1,A,A,True,qwen3.8-max,qwen3.8-max,A,9.477,657,410,406,1067,1,
81,qwen3.8-max,S2,A,A,True,qwen3.8-max,qwen3.8-max,A,9.865,639,379,375,1018,1,
81,qwen3.8-max,S3,A,C,False,qwen3.8-max,qwen3.8-max,C,15.363,657,545,541,1202,1,
82,qwen3.8-max,S1,B,B,True,qwen3.8-max,qwen3.8-max,B,17.382,627,744,740,1371,1,
82,qwen3.8-max,S2,B,C,False,qwen3.8-max,qwen3.8-max,C,8.484,609,343,339,952,1,
82,qwen3.8-max,S3,B,C,False,qwen3.8-max,qwen3.8-max,C,9.839,627,428,425,1055,1,
83,qwen3.8-max,S1,C,C,True,qwen3.8-max,qwen3.8-max,C,6.679,537,272,268,809,1,
83,qwen3.8-max,S2,C,C,True,qwen3.8-max,qwen3.8-max,C,7.558,519,307,303,826,1,
83,qwen3.8-max,S3,C,C,True,qwen3.8-max,qwen3.8-max,C,14.099,537,541,537,1078,1,
